name,location,country,subdomain,url
"California State University, Los Angeles","Los Angeles, California",🇺🇸,calstatela,https://www.coursicle.com/calstatela/
Santa Ana College,"Santa Ana, California",🇺🇸,sac,https://www.coursicle.com/sac/
University of Saskatchewan,"Saskatoon, Saskatchewan",🇨🇦,usaskca,https://www.coursicle.com/usaskca/
Ohio University,"Athens, Ohio",🇺🇸,ohio,https://www.coursicle.com/ohio/
"El Paso Community College, Valle Verde","El Paso, Texas",🇺🇸,epccvalleverde,https://www.coursicle.com/epccvalleverde/
Des Moines Area Community College,"Des Moines, Iowa",🇺🇸,dmacc,https://www.coursicle.com/dmacc/
University of Texas at El Paso,"El Paso, Texas",🇺🇸,utep,https://www.coursicle.com/utep/
University of Delaware,"Newark, Delaware",🇺🇸,udel,https://www.coursicle.com/udel/
West Virginia University,"Morgantown, West Virginia",🇺🇸,wvu,https://www.coursicle.com/wvu/
University of Mississippi,"Oxford, Mississippi",🇺🇸,olemiss,https://www.coursicle.com/olemiss/
CUNY School of Professional Studies,"New York, New York",🇺🇸,spscuny,https://www.coursicle.com/spscuny/
University of Nebraska Lincoln,"Lincoln, Nebraska",🇺🇸,unl,https://www.coursicle.com/unl/
"California State University, Fresno","Fresno, California",🇺🇸,fresnostate,https://www.coursicle.com/fresnostate/
San Francisco State University,"San Francisco, California",🇺🇸,sfsu,https://www.coursicle.com/sfsu/
University of Oregon,"Eugene, Oregon",🇺🇸,uoregon,https://www.coursicle.com/uoregon/
