university,course_code,title,url
Stanford,CS 210A,Software Project Experience with Corporate Partners,https://www.coursicle.com/stanford/courses/CS/210A/
Stanford,CS 210B,Software Project Experience with Corporate Partners,https://www.coursicle.com/stanford/courses/CS/210B/
Stanford,CS 217,Hardware Accelerators for Machine Learning,https://www.coursicle.com/stanford/courses/CS/217/
Stanford,CS 221,Artificial Intelligence: Principles and Techniques,https://www.coursicle.com/stanford/courses/CS/221/
Stanford,CS 223A,Introduction to Robotics,https://www.coursicle.com/stanford/courses/CS/223A/
Stanford,CS 224N,Natural Language Processing with Deep Learning,https://www.coursicle.com/stanford/courses/CS/224N/
Stanford,CS 224S,Spoken Language Processing,https://www.coursicle.com/stanford/courses/CS/224S/
Stanford,CS 224U,Natural Language Understanding,https://www.coursicle.com/stanford/courses/CS/224U/
Stanford,CS 224W,Machine Learning with Graphs,https://www.coursicle.com/stanford/courses/CS/224W/
Stanford,CS 225A,Experimental Robotics,https://www.coursicle.com/stanford/courses/CS/225A/
Stanford,CS 227B,General Game Playing,https://www.coursicle.com/stanford/courses/CS/227B/
Stanford,CS 228,Probabilistic Graphical Models: Principles and Techniques,https://www.coursicle.com/stanford/courses/CS/228/
Stanford,CS 229,Machine Learning,https://www.coursicle.com/stanford/courses/CS/229/
Stanford,CS 229A,Applied Machine Learning,https://www.coursicle.com/stanford/courses/CS/229A/
Stanford,CS 229T,Statistical Learning Theory,https://www.coursicle.com/stanford/courses/CS/229T/
Stanford,CS 230,Deep Learning,https://www.coursicle.com/stanford/courses/CS/230/
Stanford,CS 231A,Computer Vision: From 3D Reconstruction to Recognition,https://www.coursicle.com/stanford/courses/CS/231A/
Stanford,CS 231C,Computer Vision and Image Analysis of Art,https://www.coursicle.com/stanford/courses/CS/231C/
Stanford,CS 231N,Convolutional Neural Networks for Visual Recognition,https://www.coursicle.com/stanford/courses/CS/231N/
Stanford,CS 232,Digital Image Processing,https://www.coursicle.com/stanford/courses/CS/232/
Stanford,CS 233,Geometric and Topological Data Analysis,https://www.coursicle.com/stanford/courses/CS/233/
Stanford,CS 234,Reinforcement Learning,https://www.coursicle.com/stanford/courses/CS/234/
Stanford,CS 235,Computational Methods for Biomedical Image Analysis and Inte...,https://www.coursicle.com/stanford/courses/CS/235/
Stanford,CS 236,Deep Generative Models,https://www.coursicle.com/stanford/courses/CS/236/
Stanford,CS 237A,Principles of Robot Autonomy I,https://www.coursicle.com/stanford/courses/CS/237A/
Stanford,CS 237B,Principles of Robot Autonomy II,https://www.coursicle.com/stanford/courses/CS/237B/
Stanford,CS 238,Decision Making under Uncertainty,https://www.coursicle.com/stanford/courses/CS/238/
Stanford,CS 239,Advanced Topics in Sequential Decision Making,https://www.coursicle.com/stanford/courses/CS/239/
Stanford,CS 240,Advanced Topics in Operating Systems,https://www.coursicle.com/stanford/courses/CS/240/
Stanford,CS 240LX,"Advanced Systems Laboratory, Accelerated",https://www.coursicle.com/stanford/courses/CS/240LX/
Stanford,CS 241,Embedded Systems Workshop,https://www.coursicle.com/stanford/courses/CS/241/
Stanford,CS 242,Programming Languages,https://www.coursicle.com/stanford/courses/CS/242/
Stanford,CS 243,Program Analysis and Optimizations,https://www.coursicle.com/stanford/courses/CS/243/
Stanford,CS 244,Advanced Topics in Networking,https://www.coursicle.com/stanford/courses/CS/244/
Stanford,CS 244B,Distributed Systems,https://www.coursicle.com/stanford/courses/CS/244B/
Stanford,CS 245,Principles of Data-Intensive Systems,https://www.coursicle.com/stanford/courses/CS/245/
Stanford,CS 246,Mining Massive Data Sets,https://www.coursicle.com/stanford/courses/CS/246/
Stanford,CS 246H,Mining Massive Data Sets Hadoop Lab,https://www.coursicle.com/stanford/courses/CS/246H/
Stanford,CS 247,Human-Computer Interaction Design Studio,https://www.coursicle.com/stanford/courses/CS/247/
Stanford,CS 247A,Design for Artificial Intelligence,https://www.coursicle.com/stanford/courses/CS/247A/
Stanford,CS 247G,Introduction to Game Design,https://www.coursicle.com/stanford/courses/CS/247G/
Stanford,CS 247I,Design for Understanding,https://www.coursicle.com/stanford/courses/CS/247I/
Stanford,CS 247S,Service Design,https://www.coursicle.com/stanford/courses/CS/247S/
Stanford,CS 248,Interactive Computer Graphics,https://www.coursicle.com/stanford/courses/CS/248/
Stanford,CS 250,Algebraic Error Correcting Codes,https://www.coursicle.com/stanford/courses/CS/250/
Stanford,CS 251,Cryptocurrencies and blockchain technologies,https://www.coursicle.com/stanford/courses/CS/251/
Stanford,CS 252,Analysis of Boolean Functions,https://www.coursicle.com/stanford/courses/CS/252/
Stanford,CS 253,Web Security,https://www.coursicle.com/stanford/courses/CS/253/
Stanford,CS 254,Computational Complexity,https://www.coursicle.com/stanford/courses/CS/254/
Stanford,CS 254B,Computational Complexity II,https://www.coursicle.com/stanford/courses/CS/254B/
Stanford,CS 255,Introduction to Cryptography,https://www.coursicle.com/stanford/courses/CS/255/
Stanford,CS 257,Logic and Artificial Intelligence,https://www.coursicle.com/stanford/courses/CS/257/
Stanford,CS 259Q,Quantum Computing,https://www.coursicle.com/stanford/courses/CS/259Q/
Stanford,CS 260,Geometry of Polynomials in Algorithm Design,https://www.coursicle.com/stanford/courses/CS/260/
Stanford,CS 261,Optimization and Algorithmic Paradigms,https://www.coursicle.com/stanford/courses/CS/261/
Stanford,CS 265,Randomized Algorithms and Probabilistic Analysis,https://www.coursicle.com/stanford/courses/CS/265/
Stanford,CS 269G,Almost Linear Time Graph Algorithms,https://www.coursicle.com/stanford/courses/CS/269G/
Stanford,CS 269I,Incentives in Computer Science,https://www.coursicle.com/stanford/courses/CS/269I/
Stanford,CS 269O,Introduction to Optimization Theory,https://www.coursicle.com/stanford/courses/CS/269O/
Stanford,CS 270,"Modeling Biomedical Systems: Ontology, Terminology, Problem...",https://www.coursicle.com/stanford/courses/CS/270/
Stanford,CS 271,Artificial Intelligence in Healthcare,https://www.coursicle.com/stanford/courses/CS/271/
Stanford,CS 272,Introduction to Biomedical Informatics Research Methodology,https://www.coursicle.com/stanford/courses/CS/272/
Stanford,CS 273A,The Human Genome Source Code,https://www.coursicle.com/stanford/courses/CS/273A/
Stanford,CS 273B,Deep Learning in Genomics and Biomedicine,https://www.coursicle.com/stanford/courses/CS/273B/
Stanford,CS 273C,Cloud Computing for Biology and Healthcare,https://www.coursicle.com/stanford/courses/CS/273C/
Stanford,CS 274,Representations and Algorithms for Computational Molecular B...,https://www.coursicle.com/stanford/courses/CS/274/
Stanford,CS 275,Translational Bioinformatics,https://www.coursicle.com/stanford/courses/CS/275/
Stanford,CS 275A,Symbolic Musical Information,https://www.coursicle.com/stanford/courses/CS/275A/
Stanford,CS 275B,"Music Query, Analysis, and Style Simulation",https://www.coursicle.com/stanford/courses/CS/275B/
Stanford,CS 276,Information Retrieval and Web Search,https://www.coursicle.com/stanford/courses/CS/276/
Stanford,CS 278,Social Computing,https://www.coursicle.com/stanford/courses/CS/278/
Stanford,CS 279,Computational Biology: Structure and Organization of Biomole...,https://www.coursicle.com/stanford/courses/CS/279/
Stanford,CS 294S,Research Project in Software Systems and Security,https://www.coursicle.com/stanford/courses/CS/294S/
Stanford,CS 294W,Writing Intensive Research Project in Computer Science,https://www.coursicle.com/stanford/courses/CS/294W/
